City,Year,zhuanli,keji,jiaoyu,rgdp,gongye,waizi,renkou
31,2021,92399,1443254,4033432,136617,5992,460,1197
31,2022,122520,1796737,4662642,149857,6528,476,835
32,2018,36993,587880,2146045,110656,7500,661,597
32,2019,44777,782647,2235538,132603,7602,647,603
32,2020,47220,1241564,2514461,143157,8242,687,608
32,2021,60520,1125943,2695754,132614,8571,686,942
32,2022,72390,1312319,2844358,153922,9831,690,618
33,2018,29511,157623,1791419,55779,4582,77,825
33,2019,38181,182536,1889937,65055,4618,78,829
33,2020,37009,235282,2067136,71225,5941,68,832
33,2021,52199,277741,2206497,71766,6724,66,959
33,2022,61313,326411,2322735,78879,7819,69,833
34,2018,18244,202514,1020834,83968,5394,529,356
34,2019,24589,238688,1202026,103858,5822,554,360
34,2020,27771,330388,1310320,112751,6452,599,364
34,2021,34966,340099,1402850,102541,6364,608,541
34,2022,41264,389168,1484607,116323,6818,637,372
35,2018,25741,260669,995509,96204,4494,208,446
35,2019,37288,315725,1202789,107853,4584,221,447
35,2020,26934,468932,1314831,114561,4769,185,448
35,2021,35574,307165,1366574,113746,4561,168,529
35,2022,38293,355868,1462258,127875,4944,164,447
36,2018,17444,186460,1053388,67158,3691,83,486
36,2019,23711,211407,1144535,73428,3586,77,489
36,2020,27237,247933,1266907,81224,4161,84,492
36,2021,42446,204448,1379283,67329,4629,83,706
36,2022,46180,239953,1505793,75524,5357,84,495
37,2018,19143,137217,1226156,64287,3760,75,604
37,2019,26288,169642,1345144,79541,3801,75,605
37,2020,26936,287879,1473112,83555,4309,73,607
37,2021,34828,175336,1491485,79889,4611,76,663
37,2022,39269,221466,1581500,87089,5281,78,606
38,2018,8910,574155,731657,73715,1962,75,388
38,2019,10781,598199,743925,88085,1872,61,389
38,2020,9975,511512,780743,96154,1790,66,390
38,2021,13228,544930,814159,102964,1777,72,365
38,2022,16963,701815,843638,117526,2067,91,388
39,2018,970,15863,252501,36427,738,12,217
39,2019,1276,10531,299658,43962,682,10,218
39,2020,1616,8315,328446,47654,593,10,219
39,2021,2925,25377,352703,56661,639,15,197
39,2022,4534,79504,365553,62019,632,16,219
40,2018,1040,83439,235405,59960,540,9,171
40,2019,1567,60856,262501,75524,567,11,171
40,2020,1942,94664,255654,58726,459,10,171
40,2021,2382,103108,253246,75748,493,10,131
40,2022,3303,125226,260495,89112,554,16,169
41,2018,829,54102,186447,41905,528,8,148
41,2019,1097,58540,200360,48579,528,12,149
41,2020,1187,60796,216771,57853,541,13,149
41,2021,1549,65260,225563,63940,537,12,133
41,2022,2260,68230,231219,71928,544,11,149
42,2018,2645,93232,675479,23298,914,20,588
42,2019,3944,107316,773186,26731,930,20,589
42,2020,3302,115201,825818,33370,929,15,591
42,2021,5401,82972,912215,37899,1034,14,439
42,2022,6635,49195,913543,43690,1178,15,584
43,2018,1310,53655,585197,20611,1032,4,651
43,2019,2007,52169,641005,24547,905,3,657
43,2020,2411,57857,765756,33314,826,2,663
43,2021,4452,55157,802909,36156,617,2,500
43,2022,4023,51730,772043,39509,656,2,669
44,2018,1562,12792,199971,40919,580,12,162
44,2019,1780,25808,220244,46865,565,10,162
44,2020,1844,24401,236855,56217,587,7,162
44,2021,2374,26987,251653,64843,539,5,134
44,2022,2666,27417,258655,75191,625,11,161
45,2018,11266,196765,1557755,82251,2213,252,693
45,2019,18318,290765,1659184,102037,2240,242,703
45,2020,19262,287913,1819641,120879,2539,250,710
45,2021,25535,432935,1851895,121015,2662,245,832
45,2022,29994,394536,1901386,135298,2854,237,723
46,2018,14678,237386,1231528,97282,1894,311,231
46,2019,21393,285559,1363853,118015,1985,320,243
46,2020,23013,384332,1476725,142739,2309,340,261
46,2021,29598,412243,1599003,123962,2420,354,518
46,2022,36536,505626,1791918,134491,2747,369,283
47,2018,1894,31558,550779,63313,1221,47,355
47,2019,2912,32205,582966,77325,1203,46,360
47,2020,3512,24260,580855,89342,1160,42,364
47,2021,4580,31322,613030,82753,1114,43,321
47,2022,5264,19169,636760,89672,1125,41,367
48,2018,1489,31004,501458,55009,1089,22,319
48,2019,1776,36957,555951,66760,1054,20,320
48,2020,2111,33879,570662,74036,1040,27,318
48,2021,2849,34908,576477,74903,958,17,268
48,2022,4168,26139,579218,79162,996,18,315
49,2018,3457,84419,601554,72354,1186,30,316
49,2019,4576,89809,634350,90655,1205,31,319
49,2020,4248,133880,687776,101476,1130,30,318
49,2021,4365,88180,729745,105548,1151,36,273
49,2022,7022,136333,768703,112886,1183,36,317
50,2018,2110,25757,558140,56358,1086,6,351
50,2019,2540,68029,603494,66878,1060,8,354
50,2020,3027,102543,629459,84251,1060,17,356
50,2021,4094,117909,668582,83541,1045,21,315
50,2022,4737,80555,708471,100034,1097,22,356
51,2018,8241,217331,998001,81598,1473,77,525
51,2019,13040,273821,1110034,95825,1196,69,532
51,2020,13057,339770,1264296,100415,1451,65,536
51,2021,17910,372224,1351071,92697,1553,64,626
51,2022,23800,458501,1380575,104788,1721,79,540
52,2018,189,39606,278696,50989,327,13,169
52,2019,1895,26667,300890,50723,328,11,170
52,2020,2283,46447,360764,55228,372,11,171
52,2021,2765,51461,384616,59134,416,13,162
52,2022,3282,55304,390205,59041,510,14,171
53,2018,1875,54288,328694,52330,578,4,200
53,2019,2535,65288,383618,52307,600,4,200
53,2020,1964,71819,427829,48007,588,7,200
53,2021,2159,79025,460618,53302,609,7,181
53,2022,2464,85052,481963,61386,672,8,199
54,2018,2922,86765,866115,29772,1222,30,536
54,2019,4354,115177,936144,35202,1469,32,539
54,2020,4701,129078,1025944,42060,1549,32,540
54,2021,6356,146120,1083481,48307,1662,35,447
54,2022,8631,154417,1112021,56789,1785,32,538
55,2018,2718,164296,906585,32269,1542,27,602
55,2019,3834,217359,997976,39199,1664,29,605
55,2020,5012,252209,1133573,48182,1718,30,604
55,2021,7240,253747,1205235,55452,1896,36,501
55,2022,8678,265041,1175773,63957,2096,38,600
56,2018,23870,385919,2538189,109407,3569,817,803
56,2019,22521,451472,2630041,128459,3508,751,818
56,2020,38737,668363,2750716,124282,3536,678,831
56,2021,57696,468514,2885546,123828,3856,639,1011
56,2022,75652,513252,3088039,138849,4280,628,846
57,2018,5163,97567,966525,94587,2624,79,433
57,2019,6218,110275,1006701,107720,2412,56,434
57,2020,3469,154076,1021078,77510,1668,53,434
57,2021,10633,105241,1039080,78092,1775,51,471
57,2022,16301,105260,1073189,89238,1958,59,434
58,2018,2257,21150,508597,54984,1264,32,418
58,2019,3037,28093,560080,61226,1138,15,423
58,2020,3450,37152,587495,43100,593,12,424
58,2021,6284,26359,626752,44954,739,13,386
58,2022,7681,24046,648041,50613,841,17,426
59,2018,2385,64341,500649,164024,987,25,195
59,2019,3641,47462,531598,191942,865,20,197
59,2020,3993,57537,576127,134022,753,19,198
59,2021,7043,58278,607324,135910,845,23,219
59,2022,8614,57943,610382,156852,895,24,198
60,2018,6152,243319,1156582,98388,2377,398,654
60,2019,7669,289873,1229062,110231,2378,398,654
60,2020,8681,298557,1286107,107343,2030,346,653
60,2021,15461,298886,1349414,110058,2188,344,710
60,2022,21917,311999,1367916,122818,2421,354,649
61,2018,3251,41736,690131,59027,1402,38,571
61,2019,4282,32054,748958,64714,1278,44,573
61,2020,4325,40196,819343,47248,935,38,573
61,2021,6723,35185,870469,50555,1097,40,548
61,2022,9708,37279,918945,54917,1225,40,569
62,2018,4746,45710,1415646,38803,4074,107,1162
62,2019,6026,43679,1547356,44534,4376,89,1180
62,2020,7052,58571,1703364,43213,2938,55,1190
62,2021,12868,85455,1910645,43582,3421,55,1103
62,2022,19283,92706,1988972,49585,3771,51,1201
63,2018,2736,96054,604237,63745,1259,24,394
63,2019,3366,101917,604230,67405,1292,19,397
63,2020,3473,130977,616861,62639,1247,18,398
63,2021,7502,166922,681808,63915,1316,21,393
63,2022,9921,258731,755793,73078,1494,21,397
64,2018,1237,33187,567787,38619,1347,19,559
64,2019,1847,44454,600414,43936,1164,16,560
64,2020,1952,66753,671497,51733,1038,13,561
64,2021,3066,86786,680558,49166,1092,21,483
64,2022,4630,131921,696527,53173,1100,20,565
65,2018,5692,135537,986725,56410,1975,20,737
65,2019,8789,190121,1086694,67707,1888,21,740
65,2020,8760,259827,1128514,72912,1799,22,745
65,2021,11161,271570,1203720,72872,1785,22,706
65,2022,14067,330267,1087832,77110,1790,23,752
66,2018,1516,43210,695155,39603,944,9,624
66,2019,2141,46771,773766,46450,873,8,627
66,2020,2735,47624,810543,43003,757,8,629
66,2021,3391,61404,839927,42185,779,8,548
66,2022,5040,69278,768370,44690,869,7,631
67,2018,4265,84934,696476,37805,1240,36,647
67,2019,7183,95049,794769,43700,1227,26,656
67,2020,7100,112710,873974,50277,1341,25,664
67,2021,10581,100868,903300,48229,1499,24,626
67,2022,14291,105490,840425,52028,1636,21,668
68,2018,2642,35776,411955,59183,1289,12,371
68,2019,3552,42445,433019,66328,1208,14,373
68,2020,3919,47970,449012,76827,1102,15,373
68,2021,4925,53256,490273,60384,848,9,352
68,2022,6241,55895,444423,60643,907,9,372
69,2018,4271,143600,695194,89978,1169,18,392
69,2019,6662,141661,698722,98269,1203,21,392
69,2020,7093,165567,746132,107830,1288,19,391
69,2021,8245,151143,765541,104807,1293,19,399
69,2022,10533,154660,767537,127091,1404,21,388
70,2018,2602,229986,859093,65663,1626,34,592
70,2019,4140,302249,919990,76125,1571,35,592
70,2020,4121,270417,962739,84815,1655,38,590
70,2021,7092,204991,996210,84773,1697,43,526
70,2022,10646,114085,960626,100824,1857,41,587
71,2018,421,43349,169736,74983,539,13,111
71,2019,576,30040,195057,93317,499,9,111
71,2020,744,14597,200181,106678,509,10,112
71,2021,1285,25927,216438,93986,492,9,108
71,2022,2007,52433,232529,107968,483,8,112
72,2018,1496,83742,943026,27373,1496,15,740
72,2019,2138,94062,899889,32124,1448,14,741
72,2020,2602,97139,923912,36685,1365,15,738
72,2021,4741,105662,1007706,35784,1264,11,579
72,2022,6087,86596,934297,43550,1295,11,725
73,2018,2666,32402,910032,39020,1098,13,800
73,2019,3330,44286,888499,42163,1024,10,801
73,2020,3366,52103,969117,46379,1052,8,797
73,2021,3833,115545,985405,52550,1277,10,664
73,2022,6420,117049,959970,57909,1424,11,785
74,2018,1766,17343,838538,20987,1256,11,826
74,2019,2734,33806,889498,24178,1410,12,828
74,2020,3818,47772,990588,29339,1647,7,826
74,2021,4383,70684,1086454,34293,1871,5,656
74,2022,5395,56609,1089737,37783,2057,3,817
75,2018,1246,42140,764935,28744,955,11,642
75,2019,1615,52193,840460,33035,1085,13,645
75,2020,1718,74520,915699,37013,1075,20,644
75,2021,3062,102795,964456,38013,1199,17,530
75,2022,3658,121481,975298,43122,1265,18,635
76,2018,886,43841,699040,28515,630,6,522
76,2019,1224,55654,767090,30449,650,6,524
76,2020,1714,85523,823410,32453,690,6,524
76,2021,2839,128422,884327,36365,752,5,458
76,2022,2526,93995,879991,39767,784,6,519
77,2018,60201,1712569,4043335,141933,4664,640,898
77,2019,89826,1636655,4408209,155491,4675,640,928
77,2020,104813,2439456,5239743,156427,5804,649,954
77,2021,155835,2241321,5585916,135047,6208,644,1874
77,2022,189516,2012478,5890857,150366,6757,655,1012
78,2018,1786,59884,511799,41388,536,15,335
78,2019,3808,45974,567878,44971,446,16,337
78,2020,3307,90824,588578,43743,475,17,337
78,2021,4574,66409,601908,47441,504,20,286
78,2022,5310,37364,618811,54377,603,21,337
79,2018,94250,3518252,5090971,167411,7943,618,435
79,2019,140202,5549817,5844504,189568,7950,620,455
79,2020,166609,5484249,7165514,203489,10337,617,551
79,2021,222412,3366341,8509360,159309,11255,595,1763
79,2022,279177,3822518,9645583,173663,13027,594,631
80,2018,12544,453039,742206,134546,1163,197,119
80,2019,17090,455217,764116,159428,1170,198,127
80,2020,18967,488867,1042080,175533,1388,192,133
80,2021,24434,515050,1104658,145645,1492,187,245
80,2022,27201,495071,1149756,157914,1655,195,148
81,2018,1671,61918,787524,24032,461,12,550
81,2019,2018,82364,773781,25367,473,12,548
81,2020,2574,69695,834771,27096,474,14,546
